Study,Outcome,Data type,Effect measure,Domain (judgement): Bias arising from the randomization process,Domain (support): Bias arising from the randomization process,Domain (judgement): Bias due to deviations from intended interventions,Domain (support): Bias due to deviations from intended interventions,Domain (judgement): Bias due to missing outcome data,Domain (support): Bias due to missing outcome data,Domain (judgement): Bias in measurement of the outcome,Domain (support): Bias in measurement of the outcome,Domain (judgement): Bias in selection of the reported result,Domain (support): Bias in selection of the reported result,Domain (judgement): Overall bias,Domain (support): Overall bias
Salmany 2018,Patients’ satisfaction End of study,Arm level,,Low risk,"<p>Quote: ""This was done by applying a master randomization plan that was prepared in advance by the institution research office using an online research randomizing software.""<br>Comments: Based on the examination of Table 1, no significant differences in the baseline can be observed.</p>",Some concerns,"<p>Comments: Pharmacists and patients are able to ascertain the allocation group due to the nature of the study.<br>Quote: “To avoid any selection bias, the research pharmacist was blinded to the master randomization list and gave all participants sequential coding numbers based on the time of discharge. The primary investigator allocated the coding numbers to participants to either receive a telephone follow-up (TFU) call (intervention group) or not to receive a TFU call (control group).”<br>Comments: The study did not provide information on deviations from the intended intervention. It is unclear whether participants feel ""clearly"" the intervention group is better (while they think the intervention is better, they may also be bothered by the many interventions coming in), but there are also not ""clearly"" more drop-outs in the control group. (The impact of the high number of drop-outs on both sides is assessed in Domain 3-3).<br>Comments: After allocating 166 participants each, satisfaction data is available only for 144 individuals in the follow-up group and 154 individuals in the comparison group.<br>Comments: While there is an issue with the sample size, I still believe that there is a high likelihood of no significant difference.</p>",High risk,"<p>Comments: After allocating 166 participants each, satisfaction data is available only for 144 individuals in the follow-up group and 154 individuals in the comparison group.<br>Comments: No analytical response has been made to the missing data.<br>Comments for Domain 3-3: As for patients' satisfaction results, the reason for the drop-out is not stated, but TFU: 166 to 144 (12% decrease), CG: 164 to 154 (6% decrease), so it can be concluded that it had an impact.<br>Comments for Domain 3-4: IG: 12% decrease, CG: 6% decrease, it can be concluded that there may be a bias to one side.</p>",Low risk,"<p>Comments: If satisfaction was directly enquired from healthcare providers via telephone, there might be a potential for biased responses.<br>Comments: The same measurements are used for all participants.&nbsp;<br>Quote: ""Then, the research pharmacist provided the code list to the primary investigator who was blinded to the patients list.""</p>",High risk,"<p>Comments: The protocol could not be found.<br>Comments: Outcome assessed according to pre-specified analysis.&nbsp;<br>Quote: ""The 5-point Likert scale was used with 1 indicating very satisfied and 5 completely unsatisfied. The definitions are clear, and it is explicitly stated that the time point is at 2 weeks.""<br>Comments: Outcome assessed according to pre-specified analysis.&nbsp;<br>Quote: ""Differences in characteristics and satisfaction between the intervention and the control groups were analyzed using the Chi-Square and Fisher’s exact tests.""</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>While the randomisation process and outcome measurement were at low risk of bias, there were some concerns regarding deviations from intended interventions. The risk related to missing outcome data and the selection of reported results was high, due to substantial attrition and possible selective reporting. These critical issues led to an overall high risk of bias.</p>"
Salmany 2018,Utilisation frequency of healthcare services: admissions_dichotomous End of study,Arm level,,Low risk,"<p>Quote: ""This was done by applying a master randomization plan that was prepared in advance by the institution research office using an online research randomizing software.""<br>Comments: Based on the examination of Table 1, no significant differences in the baseline can be observed.</p>",Some concerns,"<p>Comments: Pharmacists and patients are able to ascertain the allocation group due to the nature of the study.<br>Quote: “To avoid any selection bias, the research pharmacist was blinded to the master randomization list and gave all participants sequential coding numbers based on the time of discharge. The primary investigator allocated the coding numbers to participants to either receive a telephone follow-up (TFU) call (intervention group) or not to receive a TFU call (control group).”<br>Comments: The study did not provide information on deviations from the intended intervention. It is unclear whether participants feel ""clearly"" the intervention group is better (while they think the intervention is better, they may also be bothered by the many interventions coming in), but there are also not ""clearly"" more drop-outs in the control group. (The impact of the high number of drop-outs on both sides is assessed in Domain 3-3).<br>Comments: After allocating 166 participants each, satisfaction data is available only for 144 individuals in the follow-up group and 154 individuals in the comparison group.<br>Comments: While there is an issue with the sample size, I still believe that there is a high likelihood of no significant difference.</p>",Some concerns,"<p>Comments: ""ED visits and readmissions are only documented in the Results document.<br>Based on the number and % of readmissions, TFU: 154, CG: 154. For ED visits, the number of people is unknown in % only.""<br>Comments: No analytical response has been made to the missing data.<br>Comments for Domain 3-3: The number of people who could be followed up in ED visits is unclear from ""ED visits and readmissions"" in the Results. However, for readmissions, the number of people who could be followed up for both IG and CG was N=154 (calculated from IG: 57 (37%), CG: 66 (43%)), based on the results. The two indicators are assessed together, but there is a deficit of more than 5%.<br>Comments for Domain 3-4: Although I can judge if the number of missing persons was the same for hospital readmission, the number of ED visits is unknown.</p>",Low risk,"<p>Comments: ED visits and readmissions are assessed without subjective judgment<br>Comments: The same measurements are used for all participants.&nbsp;<br>Quote: ""Then, the research pharmacist provided the code list to the primary investigator who was blinded to the patients list.""</p>",Some concerns,"<p>Comments: The protocol could not be found.<br>Comments: ED visits and readmissions are assessed without subjective judgment. However, no prior protocols were presented.<br>Comments: Outcome assessed according to pre-specified analysis.&nbsp;<br>Quote: ""Differences in characteristics and satisfaction between the intervention and the control groups were analyzed using the Chi-Square and Fisher’s exact tests.""</p>",Some concerns,"<p>The overall risk of bias was judged to be some concerns.<br>The randomisation process and outcome measurement were assessed as low risk of bias. However, some concerns were noted regarding deviations from intended interventions, missing outcome data, and the selection of reported results. These issues contributed to the overall rating of some concerns.</p>"
Sarayani 2018,"Laboratory values: HbA1c, glycosylated hemoglobin",Arm level,,Low risk,"<p>Quote: ""A balanced block randomization method to generate random allocation sequence. One of the authors who was not involved in eligibility confirmation, diabetes education, or telephone intervention generated and concealed the allocation sequence.""<br>Comments: This study showed that baseline characteristics were not different between the two groups.&nbsp;</p>",,,,,,,,,,
Sarayani 2018,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,Low risk,"<p>Quote: ""A balanced block randomization method to generate random allocation sequence. One of the authors who was not involved in eligibility confirmation, diabetes education, or telephone intervention generated and concealed the allocation sequence.""<br>Comments: This study showed that baseline characteristics were not different between the two groups.&nbsp;</p>",High risk,"<p>Quote: ""Due to the nature of the study intervention, blinding of participants and caregivers was not performed. ""<br>Quote: ""One of the authors who was not involved in eligibility confirmation, diabetes education, or telephone intervention generated and concealed the allocation sequence. After the live education session, the clinical team asked for study group allocation via phone.""<br>Comments: Per-protocol implementation (Fig. 1)<br>Comments: 40 analyses (out of 50) in the intervention group, 44 analyses (out of 50) in the control group. 20% dropped out, which may have affected the results.</p>",Low risk,"<p>Intervention: analyzed (HbA1c outcome) (n=40/50)<br>Control: analyzed (HbA1c outcome) (n=44/50)<br>Quote: ""Analyses of the primary outcome (HbA1c) and secondary outcomes (lipid profiles and the medication adherence score) were carried out using repeated measure ANOVA. ""<br>Comments: No mention of missing data completion.<br>Comments: Not provide clear information. The percentage of missing values differs between the two groups.</p>",Low risk,"<p>Comments: HbA1c is the most common observational data to evaluate diabetes.<br>Comments: The same measurements are used for all participants.&nbsp;<br>Quote: ""Due to the nature of the study intervention, blinding of participants and caregivers was not performed.""<br>Comments: Because of the Morisky Medication Adherence Questionnaire, the outcome assessors were the participants.<br>Comments: HbA1c is common in laboratory tests.</p>",Low risk,<p>Comments: Analysis methods are reported in the protocol (registry information) in advance.<br>Comments: Analysis methods are reported in the protocol (registry information) in advance.<br>Comments: Analysis methods are reported in the protocol (registry information) in advance.</p>,High risk,"<p>The overall risk of bias was judged to be high.<br>Although most domains were assessed as low risk, there was a high risk of bias due to deviations from the intended interventions, primarily related to lack of blinding and possible non-adherence to the assigned intervention. Given the potential impact of these deviations on the outcome, the overall risk of bias was considered high.</p>"
Sarayani 2018,Laboratory values: LDL cholesterol,Arm level,,Low risk,"<p>Quote: ""A balanced block randomization method to generate random allocation sequence. One of the authors who was not involved in eligibility confirmation, diabetes education, or telephone intervention generated and concealed the allocation sequence.""<br>Comments: This study showed that baseline characteristics were not different between the two groups.&nbsp;</p>",,,,,,,,,,
Sarayani 2018,Laboratory values: LDL cholesterol End of study,Arm level,,Low risk,"<p>Quote: ""A balanced block randomization method to generate random allocation sequence. One of the authors who was not involved in eligibility confirmation, diabetes education, or telephone intervention generated and concealed the allocation sequence.""<br>Comments: This study showed that baseline characteristics were not different between the two groups.&nbsp;</p>",High risk,"<p>Quote: ""Due to the nature of the study intervention, blinding of participants and caregivers was not performed. ""<br>Quote: ""One of the authors who was not involved in eligibility confirmation, diabetes education, or telephone intervention generated and concealed the allocation sequence. After the live education session, the clinical team asked for study group allocation via phone.""<br>Comments: Per-protocol implementation (Fig. 1)<br>Comments: 40 analyses (out of 50) in the intervention group, 44 analyses (out of 50) in the control group. 20% dropped out, which may have affected the results.</p>",Low risk,"<p>Intervention: analyzed (LDL outcome) (n=40/50)<br>Control: analyzed (LDL outcome) (n=44/50)<br>Quote: ""Analyses of the primary outcome (HbA1c) and secondary outcomes (lipid profiles and the medication adherence score) were carried out using repeated measure ANOVA.""<br>Comments: No mention of missing data completion.<br>Comments: Not provide clear information. The percentage of missing values differs between the two groups.</p>",Low risk,"<p>Comments: LDL is the most common observational data to evaluate diabetes.<br>Comments: The same measurements are used for all participants.&nbsp;<br>Quote: ""Due to the nature of the study intervention, blinding of participants and caregivers was not performed.""<br>Comments: Because of the Morisky Medication Adherence Questionnaire, the outcome assessors were the participants.<br>Comments: LDL is common in laboratory tests.</p>",Low risk,<p>Comments: Analysis methods are reported in the protocol (registry information) in advance.<br>Comments: Analysis methods are reported in the protocol (registry information) in advance.<br>Comments: Analysis methods are reported in the protocol (registry information) in advance.</p>,High risk,"<p>The overall risk of bias was judged to be high.<br>While most domains were rated as low risk, there was a high risk of bias in relation to deviations from intended interventions. This was mainly due to insufficient blinding and concerns about participant adherence, which may have influenced the outcomes. As this domain can critically affect the validity of the results, the overall risk of bias was deemed high.</p>"
Sarayani 2018,Medication adherence,Arm level,,Low risk,"<p>Quote: ""A balanced block randomization method to generate random allocation sequence. One of the authors who was not involved in eligibility confirmation, diabetes education, or telephone intervention generated and concealed the allocation sequence.""<br>Comments: This study showed that baseline characteristics were not different between the two groups.&nbsp;</p>",,,,,,,,,,
Sarayani 2018,Medication adherence 3 months,Arm level,,Low risk,"<p>Quote: ""A balanced block randomization method to generate random allocation sequence. One of the authors who was not involved in eligibility confirmation, diabetes education, or telephone intervention generated and concealed the allocation sequence.""<br>Comments: This study showed that baseline characteristics were not different between the two groups.&nbsp;</p>",,,,,,,,,,
Sarayani 2018,Medication adherence 9 months,Arm level,,Low risk,"<p>Quote: ""A balanced block randomization method to generate random allocation sequence. One of the authors who was not involved in eligibility confirmation, diabetes education, or telephone intervention generated and concealed the allocation sequence.""<br>Comments: This study showed that baseline characteristics were not different between the two groups.&nbsp;</p>",,,,,,,,,,
Sarayani 2018,Medication adherence End of study,Arm level,,Low risk,"<p>Quote: ""A balanced block randomization method to generate random allocation sequence. One of the authors who was not involved in eligibility confirmation, diabetes education, or telephone intervention generated and concealed the allocation sequence.""<br>Comments: This study showed that baseline characteristics were not different between the two groups.&nbsp;</p>",Some concerns,"<p>Quote: ""Due to the nature of the study intervention, blinding of participants and caregivers was not performed. ""<br>Quote: ""One of the authors who was not involved in eligibility confirmation, diabetes education, or telephone intervention generated and concealed the allocation sequence. After the live education session, the clinical team asked for study group allocation via phone.""<br>Comments: Per-protocol implementation (Fig. 1)<br>Comments: 46 analyses (out of 50) in the intervention group, 48 analyses (out of 50) in the control group. More than 5 % of the intervention group dropped out, which may have affected the results.</p>",High risk,"<p>Intervention: Analyzed (Adherence and self-care) (n=46)<br>Control: Analyzed (Adherence and self-care) (n=48)<br>Quote: ""Analyses of the primary outcome (HbA1c) and secondary outcomes (lipid profiles and the medication adherence score) were carried out using repeated measure ANOVA. ""<br>Comments: No mention of missing data completion.<br>Comments: Not provide clear information. The percentage of missing values differs between the two groups.</p>",High risk,"<p>Comments: The measurement points are fixed. Indicators used worldwide.<br>Comments: The same measurements are used for all participants.&nbsp;<br>Quote: ""Due to the nature of the study intervention, blinding of participants and caregivers was not performed.""<br>Comments: Because of the Morisky Medication Adherence Questionnaire, the outcome assessors were the participants.<br>Comments: self-reported scale</p>",Low risk,<p>Comments: Analysis methods are reported in the protocol (registry information) in advance.<br>Comments: Analysis methods are reported in the protocol (registry information) in advance.<br>Comments: Analysis methods are reported in the protocol (registry information) in advance.</p>,High risk,"<p>The overall risk of bias was judged to be high.<br>Although the randomisation process and selection of reported results were at low risk of bias, there were some concerns regarding deviations from intended interventions. The risk of bias was high for both missing outcome data and outcome measurement, due to incomplete follow-up and lack of blinding for subjective outcomes. These issues in critical domains contributed to the overall high risk of bias.</p>"
Scala 2018,Clinical measurements: diastolic blood pressure,Arm level,,Low risk,"<p>Quote: ""Participants were randomly assigned to either control or intervention group with a 1:1 allocation as per a computer generated list of random numbers. The participants were enrolled and evaluated by enclosing their data into opaque, sealed envelopes. The computer generated the allocation sequence and a researcher with no clinical involvement in the trial prepared the envelopes.""<br>Baseline characteristics Main paper table 2 do not show any differences and appear compatible.</p>",,,,,,,,,,
Scala 2018,Clinical measurements: diastolic blood pressure End of study,Arm level,,Low risk,"<p>Quote: ""Participants were randomly assigned to either control or intervention group with a 1:1 allocation as per a computer generated list of random numbers. The participants were enrolled and evaluated by enclosing their data into opaque, sealed envelopes. The computer generated the allocation sequence and a researcher with no clinical involvement in the trial prepared the envelopes.""<br>Baseline characteristics Main paper table 2 do not show any differences and appear compatible.</p>",Low risk,"<p>Quote: ""Given the nature of the study design, it was impossible for the pharmacist to be blinded to the group assignment.""<br>Comments: This study did not provide information that the deviations from the intended intervention.<br>Comments: As the number of all cases is given in the Analysis in Fig 1, we judged it to be ITT.</p>",Low risk,"<p>Comments: According to Fig. 1, outcomes data were available for all participants.</p>",Low risk,"<p>Comments: DBP is an objective indicator and is not subject to the assessor's subjectivity.<br>Comments: Same time and frequency of measurements.<br>Comments: The outcome assessor and analyst do not necessarily coincide, and it is not stated whether the assessor who carried out the blood pressure measurement was blinded.<br>Comments: Blood pressure is an objective indicator.&nbsp;</p>",Some concerns,"<p>Comment: The protocol could not be found.<br>Comments: Assessment is difficult because protocols cannot be found. There is no protocol for the timing of blood pressure measurements, so there may be other measurement times. However, it is common to use SBP and DBP as an outcome for hypertension.<br>Comments: Univariate analysis only, but no prior protocol.</p>",Some concerns,"<p>The overall risk of bias was assessed as some concerns, primarily due to issues related to bias in the selection of the reported result (Domain 5), while the remaining domains were judged to be at low risk of bias.</p>"
Scala 2018,Clinical measurements: systolic blood pressure,Arm level,,Low risk,"<p>Quote: ""Participants were randomly assigned to either control or intervention group with a 1:1 allocation as per a computer generated list of random numbers. The participants were enrolled and evaluated by enclosing their data into opaque, sealed envelopes. The computer generated the allocation sequence and a researcher with no clinical involvement in the trial prepared the envelopes.""<br>Baseline characteristics Main paper table 2 do not show any differences and appear compatible.</p>",,,,,,,,,,
Scala 2018,Clinical measurements: systolic blood pressure End of study,Arm level,,Low risk,"<p>Quote: ""Participants were randomly assigned to either control or intervention group with a 1:1 allocation as per a computer generated list of random numbers. The participants were enrolled and evaluated by enclosing their data into opaque, sealed envelopes. The computer generated the allocation sequence and a researcher with no clinical involvement in the trial prepared the envelopes.""<br>Baseline characteristics Main paper table 2 do not show any differences and appear compatible.</p>",Low risk,"<p>Quote: ""Given the nature of the study design, it was impossible for the pharmacist to be blinded to the group assignment.""<br>Comments: This study did not provide information about the deviations from the intended intervention.&nbsp;<br>Comments: As the number of all cases is given in the Analysis in Fig. 1, we judged it to be ITT.</p>",Low risk,"<p>Comments: According to Fig. 1, outcome data was available for all participants.</p>",Low risk,"<p>Comments: SBP is an objective indicator and is not subject to the assessor's subjectivity.<br>Comments: Same time and frequency of measurements.<br>Comments: The outcome assessor and analyst do not necessarily coincide, and it is not stated whether the assessor who carried out the blood pressure measurement was blinded.<br>Comments: Blood pressure is an objective indicator.&nbsp;</p>",Some concerns,"<p>Comment: The protocol could not be found.<br>Comments: Assessment is difficult because protocols cannot be found. There is no protocol for the timing of blood pressure measurements, so there may be other measurement times. However, it is common to use SBP and DBP as an outcome for hypertension.<br>Comments: Univariate analysis only, but no prior protocol.</p>",Some concerns,"<p>The overall risk of bias was judged to be of some concerns, due to some concerns identified in Domain 5 (bias in selection of the reported result), while all other domains were judged to be at low risk of bias.</p>"
Shdaifat 2022,Clinical measurements: asthma control,Arm level,,Some concerns,"<p>Quote: ""Eligible patients were randomly assigned, using simple randomization software provided by the GraphPad calculator, to two groups.""<br>Comments: See Table 1.</p>",,,,,,,,,,
Shdaifat 2022,Clinical measurements: asthma control End of study,Arm level,,Some concerns,"<p>Quote: ""Eligible patients were randomly assigned, using simple randomization software provided by the GraphPad calculator, to two groups.""<br>Comments: See Table 1.</p>",Some concerns,"<p>Comments: No mention of blinds. Due to the nature of the study, it is likely that the interventionists know which group they are in.<br>Comments: This study did not provide information about the deviations from the intended intervention. It is also unclear whether the participants felt ""clearly"" better about the intervention group (while they thought the intervention was better, they may have been bothered by the many interventions), and there were not ""clearly"" more drop-outs in the control group.<br>Comments: The number of people listed for analysis in Table 3 is less than the assignment in Fig. 1. There is no mention of missing value completion. The analysis was performed as per protocol.<br>Comments: No difference between the two groups, even with dropouts.</p>",Some concerns,<p>Comments: Number of people excluded from analysis is more than 5% after randomisation<br>Comments: No description of missing value completion. Univariate analysis only. No sensitivity analysis.<br>Comments: Non-adherence with intervention. The reasons for missing measurements in both groups are similar.</p>,High risk,<p>Comments: The measurement points are fixed. Indicators used worldwide.<br>Comments: The same measurements are used for all participants.&nbsp;<br>Comments: the assessors know which patients are being intervened with because of the nature of the study.　 The assessor is not blinded.<br>Comments: self-reported checklist. But assensers were not blinded.&nbsp;</p>,High risk,"<p>Comments: There is no protocol, it is not pre-designed.<br>Comments: There is no protocol, it is not pre-designed, and there are many asthma control indicators in the world. Results were presented at the same measurement time as other outcomes.<br>Comments: Univariate analysis only, but no prior protocol.</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>Some concerns were identified in the randomisation process, intervention adherence, and the management of missing data. There was a high risk of bias in outcome measurement due to unblinded assessment and the use of subjective measures. High risk was also noted in the selection of the reported result and in the appropriateness of the analysis. Taken together, these issues led to a judgment of high overall risk.</p>"
Shdaifat 2022,Patients’ quality of life,Arm level,,Some concerns,"<p>Quote: ""Eligible patients were randomly assigned, using simple randomization software provided by the GraphPad calculator, to two groups.""<br>Comments: See Table 1.</p>",,,,,,,,,,
Shdaifat 2022,Patients’ quality of life End of study,Arm level,,Some concerns,"<p>Quote: ""Eligible patients were randomly assigned, using simple randomization software provided by the GraphPad calculator, to two groups.""<br>Comments: See Table 1.</p>",Some concerns,"<p>Comments: No mention of blinds. Due to the nature of the study, it is likely that the interventionists know which group they are in.<br>Comments: This study did not provide information about the deviations from the intended intervention. It is also unclear whether the participants felt ""clearly"" better about the intervention group (while they thought the intervention was better, they may have been bothered by the many interventions), and there were not ""clearly"" more drop-outs in the control group.<br>Comments: The number of people listed for analysis in Table 3 is less than the assignment in Fig. 1. There is no mention of missing value completion. The analysis was performed as per protocol.<br>Comments: No difference between the two groups, even with dropouts.</p>",Some concerns,<p>Comments: Number of people excluded from analysis is more than 5% after randomisation<br>Comments: No description of missing value completion. Univariate analysis only. No sensitivity analysis.<br>Comments: Non-adherence with intervention. The reasons for missing measurements in both groups are similar.</p>,High risk,<p>Comments: The measurement points are fixed. Indicators used worldwide.<br>Comments: The same measurements are used for all participants.&nbsp;<br>Comments: the assessors know which patients are being intervened with because of the nature of the study.　 The assessor is not blinded.<br>Comments: self-reported checklist. But assensers were not blinded.&nbsp;</p>,High risk,"<p>Comments: There is no protocol, it is not pre-designed.<br>Comments: There is no protocol, it is not pre-designed, and there are many QOL indicators in the world. Results were presented at the end of the study only.<br>Comments: Univariate analysis only, but no prior protocol.</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>While the randomisation, deviations from intended interventions, and missing data domains raised some concerns, outcome measurement, reporting, and analysis were judged to be at high risk of bias. In particular, the lack of blinding and reliance on subjective outcomes, along with inconsistencies between reported and planned analyses, contributed substantially to the risk. These combined factors justified the high overall risk rating.</p>"
Shdaifat 2022,Utilisation frequency of healthcare services: emergency department visits,Arm level,,Some concerns,"<p>Quote: ""Eligible patients were randomly assigned, using simple randomization software provided by the GraphPad calculator, to two groups.""<br>Comments: See Table 1.</p>",,,,,,,,,,
Shdaifat 2022,Utilisation frequency of healthcare services: emergency department visits End of study,Arm level,,Some concerns,"<p>Quote: ""Eligible patients were randomly assigned, using simple randomization software provided by the GraphPad calculator, to two groups.""<br>Comments: See Table 1.</p>",Some concerns,"<p>Comments: No mention of blinds. Due to the nature of the study, it is likely that the interventionists know which group they are in.<br>Comments: This study did not provide information about the deviations from the intended intervention. It is also unclear whether the participants felt ""clearly"" better about the intervention group (while they thought the intervention was better, they may have been bothered by the many interventions), and there were not ""clearly"" more drop-outs in the control group.<br>Comments: The number of people listed for analysis in Table 3 is less than the assignment in Fig. 1. There is no mention of missing value completion. The analysis was performed as per protocol.<br>Comments: No difference between the two groups, even with dropouts.</p>",Some concerns,<p>Comments: Number of people excluded from analysis is more than 5% after randomisation<br>Comments: No description of missing value completion. Univariate analysis only. No sensitivity analysis.<br>Comments: Non-adherence with intervention. Non-adherence to scheduled clinic visits. The reasons for missing measurements in both groups are similar.</p>,Low risk,<p>Comments: ED visits are assessed without subjective judgment<br>Comments: The same measurements are used for all participants.&nbsp;<br>Comments: The assessor is not blinded.<br>Comments: ED visits are assessed without subjective judgment.</p>,High risk,"<p>Comments: There is no protocol, it is not pre-designed.<br>Comments: There is no protocol, it is not pre-designed, and there are many indicators of utilisation frequency of healthcare services in the world. Results were presented at the end of the study only.<br>Comments: Univariate analysis only, but no prior protocol.</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>The study presented some methodological concerns in the areas of randomisation, protocol adherence, and incomplete outcome data. More serious risks were identified in outcome assessment, reporting transparency, and analytical methods. Due to the presence of high risk in multiple critical domains, the cumulative potential for bias was considered substantial.</p>"
Shdaifat 2022,Worsening of NCDs,Arm level,,Some concerns,"<p>Quote: ""Eligible patients were randomly assigned, using simple randomization software provided by the GraphPad calculator, to two groups.""<br>Comments: See Table 1.</p>",,,,,,,,,,
Shdaifat 2022,Worsening of NCDs End of study,Arm level,,Some concerns,"<p>Quote: ""Eligible patients were randomly assigned, using simple randomization software provided by the GraphPad calculator, to two groups.""<br>Comments: See Table 1.</p>",Some concerns,"<p>Comments: No mention of blinds. Due to the nature of the study, it is likely that the interventionists know which group they are in.<br>Comments: This study did not provide information about the deviations from the intended intervention. It is also unclear whether the participants felt ""clearly"" better about the intervention group (while they thought the intervention was better, they may have been bothered by the many interventions), and there were not ""clearly"" more drop-outs in the control group.<br>Comments: The number of people listed for analysis in Table 3 is less than the assignment in Fig. 1. There is no mention of missing value completion. The analysis was performed as per protocol.<br>Comments: No difference between the two groups, even with dropouts.</p>",Some concerns,<p>Comments: Number of people excluded from analysis is more than 5% after randomisation<br>Comments: No description of missing value completion. Univariate analysis only. No sensitivity analysis.<br>Comments: Non-adherence with intervention. The reasons for missing measurements in both groups are similar.</p>,High risk,"<p>Comments: Monthly objective data.<br>Quote: ""The following measures were tracked monthly as indicators of asthma exacerbation: emergency department (ED) visits, hospital admissions, unscheduled private clinic visits, and steroid burst requirement. Additionally, other measures that were recorded on a monthly basis included short-acting beta agonist (SABA) nebulization, average daily SABA puffs used, IDAT, and C-ACT.""<br>Comments: Monthly objective data.<br>Comments: No mention of blinds. Due to the nature of the study, it is likely that the interventionists know which group they are in.<br>Comments: Included self-reported checklist.</p>",High risk,"<p>Comments: There is no protocol, it is not pre-designed.<br>Comments: There is no protocol, it is not pre-designed, and there are many indicators of exacerbation of diseases in the world.<br>Comments: Univariate analysis only, but no prior protocol.</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>This judgment was primarily driven by a high risk of bias due to deviations from intended interventions and in the measurement of the outcome. In addition, there were some concerns regarding the randomization process, missing outcome data, and selection of the reported result.</p>"
Sudas Na Ayutthaya 2018,Clinical measurements: thromboembolic events End of study,Arm level,,Low risk,"<p>Quote: ""A random allocation sequence was created using a computer generated random number table. Random numbers were subsequently put into opaque envelope and sealed.""<br>Comments: This study showed that baseline characteristics were not different between the two groups.&nbsp;</p>",Low risk,"<p>Quote: ""During the recruitment phase, information about newly enrolled participants was sent to the principal investigator to assign participants to an intervention.""<br>Comments: This study did not provide information about the deviations from the intended intervention.&nbsp;<br>Quote: ""All statistical analyses were performed using SPSS, version 17.0; SPSS Inc.; Chicago, IL).""</p>",Some concerns,"<p>Quote: ""A total of two, out of fifty, participants did not complete the study. One participant from the telephone follow-up group no longer required warfarin due to an improvement in indicated condition (deep vein thrombosis), while one individual from usual care group died (Figure 1).""<br>Comments: Although the statistical analysis reported, this study did not provide information that the result was not biased by missing outcome data.&nbsp;<br>Comments: Authors reported both the number of participants and reasons for missing outcome data.&nbsp;</p>",High risk,"<p>Quote: ""Warfarin clinic records were the source of data on outcomes of interest. At each clinic visit, patients were asked to report complications/adverse events such as bleeding and thrombosis. Pharmacists at the warfarin clinic then checked for signs and symptoms of reported safety outcomes. Participants were also asked to report any emergency room visits or hospitalization, which was subsequently confrmed with hospital records.""<br>Comments: The same measurements are used for all participants.&nbsp;<br>Quote: ""During the recruitment phase, information about newly enrolled participants was sent to the principal investigator to assign participants to an intervention.""<br>Comments: This is included patients' self-reported.</p>",High risk,<p>Comments: This study did not provide information about the pre-specified analysis plan.&nbsp;<br>Comments: I can not see the terms of clinical measurements such as thromboembolic events in the study registration (TCTR ID : TCTR20180614006).<br>Comments: I can not see the terms of clinical measurements such as thromboembolic events in the study registration (TCTR ID : TCTR20180614006).<br>Comments: This study did not analyse multiple eligible data.&nbsp;</p>,High risk,"<p>The overall risk of bias was judged to be high.<br>While the randomisation process and adherence to the assigned interventions were assessed as low risk, there were some concerns regarding missing outcome data. The risk of bias due to outcome measurement and selection of the reported result was considered substantial, mainly because outcome assessors were unblinded and there was evidence of selective reporting. These critical limitations led to a high overall risk of bias.</p>"
