Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of outcome assessment (detection bias),Domain (support): Blinding of outcome assessment (detection bias),Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Recruitment bias,Domain (support): Recruitment bias,Domain (judgement): Baseline imbalance in outcome measurements or characteristics,Domain (support): Baseline imbalance in outcome measurements or characteristics,Domain (judgement): Protection against contamination,Domain (support): Protection against contamination,Domain (judgement): Incorrect analysis,Domain (support): Incorrect analysis,Domain (judgement): Risk of bias overall,Domain (support): Risk of bias overall
Siriwardena 2002,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>&nbsp;Data collected as part of national campaign</p>,Low risk,<p>Data from all practices provided</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of recruitment after randomisation</p>,Low risk,<p>Groups similar at baseline</p>,Low risk,<p>Separate practices</p>,Unclear risk,<p>No adjustment for clustering mentioned</p>,Low risk,<p>Low risk across most domains</p>
Smith 1998,Low risk,<p>Computer randomisation</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>&nbsp;Data collected through Medicaid</p>,Low risk,<p>Fewer than 10% stopped taking drugs.</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Low risk,<p>Table 1</p>,Low risk,<p>Randomised by cluster</p>,Unclear risk,<p>No adjustment for clustering mentioned</p>,Low risk,<p>Low risk across most domains</p>
Smith-Bindman 2020,Unclear risk,<p>Sequence generation is not clearly reported.</p>,Low risk,<p>Central allocation by an independent person</p>,Unclear risk,<p>Outcome data assessment not described in enough detail but it appears that &nbsp;de-identified CT scans were assessed so detection bias is not likely.</p>,Unclear risk,"<p>Loss of facilities ranged from 15%, 20% and 30% in the three arms, with reasons reported and these do not appear related to the intervention. There is potential concern for the arm that lost 30% of facilities (compared to the other two - 15% and 20%).</p>",Low risk,<p>Outcomes reported as per trial registration</p>,Low risk,<p>No evidence of recruitment after randomisation and allocation</p>,Low risk,<p>Baseline appears balanced.</p>,Unclear risk,"<p>Authors acknowledge facilities are interconnected and efforts were made to reduce contamination, but it is unclear if this was successful between facilities within an organisation.</p>",Low risk,<p>Clustering was accounted for in the analysis.</p>,Unclear risk,<p>Protection against contamination - unclear</p>
Socolar 1998,Low risk,<p>Random number assignment</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>&nbsp;Documentation assessed by blinded reviewers</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Low risk,<p>Table 1</p>,Low risk,<p>Separate professionals</p>,Low risk,<p>Appropriate adjustment for clustering described (linear regression with ICC)</p>,Low risk,<p>Low risk across most domains</p>
Soleymani 2019,Low risk,<p>Random number generator</p>,Low risk,"<p>Based on the study flow diagram, it appears likely that all clusters were allocated at the same time.</p>",Unclear risk,<p>Not enough information on outcome assessment and data collection</p>,Low risk,"<p>Few withdrawals and, though not described which arm these withdrawals were from, the low number would be unlikely to bias the outcomes.</p>",Low risk,<p>Outcomes and time frames were consistent with registered protocol.</p>,Low risk,<p>Unlikely that physicians were recruited to the trial after clusters were randomised</p>,Low risk,<p>Baseline balanced as described in table 1</p>,Unclear risk,<p>It is possible that the physicians who received the printed educational material could have communicated between physicians allocated to other groups.</p>,Low risk,"<p>We conducted the analyses at the strata level (physicians), as the intended unit of inference was the physician.</p>",Low risk,<p>Low risk across most domains</p>
Solomon 2004,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Low risk,<p>One physician lost to follow-up; not related to intervention. See Table 1</p>,Unclear risk,<p>Unable to assess</p>,Low risk,"<p>""Because the intervention was directed at rheumatologists and patients were clustered within rheumatologists’ practices, we adjusted the analyses for treating rheumatologist by including a term for the doctor in the multivariate model using the generalised estimating equation (GEE).""</p>",Unclear risk,<p>Unclear risk in important domains</p>
Soumerai 1998,Unclear risk,<p>No description of sequence generation</p>,Low risk,"<p>No description of allocation methodology, but as randomisation was performed on one day, and based on a flow chart, it appears likely that clusters were allocated at one time</p>",Low risk,"<p>Unclear if data abstractors were blinded. But there were multiple research nurses doing this, with ongoing inter-rater agreement maintained and a random sample audited, so it is unlikely that biases were introduced into data abstraction. Data for medical records were put in by healthcare professionals unaware of the study arms and hypothesis.</p>",Unclear risk,"<p>1/17 control sites lost due to the hospital closing down, which was outside of study's control and not influenced by the intervention. Some hospitals excluded from drug-specific analyses with explanation, but unclear if this was planned prior.</p>",Unclear risk,<p>No protocol or trial registry to determine if all preplanned outcomes were reported in the preplanned manner</p>,Low risk,<p>No evidence of recruitment after randomisation and allocation</p>,Low risk,<p>Baseline characteristics and outcome data appear balanced.</p>,Low risk,"<p>Due to the cluster design (including randomising by geography), contamination is unlikely.</p>",Unclear risk,<p>How trialists analysed hospitals as a unit is unclear in the methods and in the data presented.</p>,Low risk,<p>Low risk across most important domains</p>
Spoorenberg 2015,Low risk,<p>Randomisation by minimisation by statistician; likely okay</p>,Low risk,<p>Allocation likely central and done at one time</p>,Low risk,<p>Low risk of detection bias as the assessors were blinded to treatment groups.</p>,Low risk,<p>All recruited clusters completed the study and were analysed.</p>,Unclear risk,"<p>The trial registration stated that cost-effectiveness is a secondary outcome; however, the paper does not report the reason for not collecting or reporting this outcome.</p>",Low risk,"<p>No interventions at the patient level were done and patient data were analysed in a retrospective design anonymously. CFS: patients enroled from October 15, 2010: enrolment in post-intervention measurement at least 6 months after providing the feedback reports. MFS: patient enrolment in post-intervention measurement depended on the individual implementation schedule: at least 3 months after the hospital's kick-off meeting, and at least 6 months after providing the first feedback report.</p>",Low risk,<p>No baseline differences between groups</p>,Low risk,<p>Allocation at practice level</p>,Low risk,<p>Appropriate analysis method used which accounted for clustering effects</p>,Low risk,<p>Low risk across most domains</p>
Stewardson 2016,Low risk,<p>Computer-generated sequence</p>,Low risk,<p>Central allocation and likely done at one time</p>,Unclear risk,<p>Unclear if nurses assessing the outcomes were aware of allocation</p>,Low risk,<p>1/21 control arm lost to follow-up with reason provided. Unlikely missing outcome data are biased</p>,Low risk,<p>The outcomes reported in the trial were consistent with the retrospective registered protocol.</p>,Low risk,<p>These strata grouped together wards with similar patient charac teristics.</p>,Low risk,<p>No important baseline differences were noted in primary or secondary outcome or characteristics of wards.</p>,High risk,"<p>First, although we attempted to minimise cross-contamination between study groups by using a cluster randomised design, such cross-contamination was difficult to avoid because of the movement of healthcare workers between wards (particularly physicians, allied health-care professionals, and shared institutional leadership). Second, exclusion from intervention groups motivated some control wards to&nbsp;develop their own hand hygiene initiatives, including patient participation. Although this so-called study effect&nbsp;in the control group was a success from a patient safety perspective, it undermined the study design.</p>",Low risk,<p>Analyses between groups took into account clustering design in the RCT.</p>,High risk,<p>Due to potential risk in protection against contamination</p>
Søndergaard 2002,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>&nbsp;Data collected from billing database</p>,Low risk,<p>All prescriptions assessed</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Low risk,"<p>Quote: ""There was no statistically significant differences between the intervention and the control groups....at the onset of the trial.""</p>",Low risk,<p>Practices randomised</p>,Low risk,<p>Appropriate adjustment for clustering described (cox regression with robust variance estimates)</p>,Low risk,<p>Low risk across most domains</p>
Søndergaard 2003,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>&nbsp;Data collected from billing database</p>,Low risk,<p>All prescriptions assessed</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Low risk,<p>Table 1</p>,Low risk,<p>Practices randomised</p>,Unclear risk,<p>No adjustment for clustering mentioned</p>,Low risk,<p>Low risk across most domains</p>
Søndergaard 2006,Low risk,<p>Random number table</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,High risk,<p>Audit done by participants</p>,Low risk,<p>Equal dropouts in both groups; see Figure 1</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Low risk,<p>See Table 1</p>,Unclear risk,<p>Unable to assess</p>,Low risk,"<p>""The association between intervention and changes in outcome variables was assessed using logistic regression analyses. We adjusted for clustering at the level of the individual GP, thus accounting for non-independence of observations within each practice.""</p>",High risk,<p>Due to blinding</p>
Tadrous 2020,Low risk,<p>Computer-generated random sequence</p>,Low risk,"<p>Randomisation occurred at one time, likely centrally.</p>",Unclear risk,"<p>The article states that nursing home staff (aware of allocation) complete RAI (Resident Assessment Instrument) assessments within 14 days of admission, but it is not clear who makes the 3, 6 and 12-month assessments (using data from the administrative claims databases).</p>",Low risk,<p>No nursing homes were lost to follow-up in either intervention or control group (Figure 1). ITT analyses used</p>,Low risk,<p>Table 2 - outcomes reported as planned in protocol (available in supplementary material)</p>,Unclear risk,<p>Care homes could not be blinded to their allocation and staff could choose whether to participate - may have led to recruitment bias?</p>,Unclear risk,<p>Some baseline imbalances reported and it does not appear adjustments were made</p>,Unclear risk,<p>Nursing homes were not blinded to their allocation and it is unclear if staff may be able to move between sites.</p>,Low risk,<p>Clustering taken into account in analysis</p>,Low risk,"<p>Recruitment bias, baseline imbalance and protection against contamination judged as unclear; all else low risk</p>"
Thomas 2006,Low risk,"<p>Quote: ""cluster randomization...with a minimization procedure""</p>",Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,"<p>&nbsp;<br>Quote: ""The laboratory personnel who processed the requests were unaware of the intervention-group status.""</p>",Low risk,<p>Data from all sites randomised included in analysis</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Separate practices</p>,Unclear risk,<p>No adjustment for clustering mentioned</p>,Low risk,<p>Low risk across most domains</p>
Thomas 2007,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>&nbsp;Unclear if blood pressure assessors were blinded</p>,Low risk,<p>All subjects included in analysis</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Low risk,"<p>Quote ""Resident demographic data (age, sex, and year in training) were similar between groups.""</p>",Unclear risk,<p>Unable to assess</p>,Low risk,<p>Appropriate adjustment for clustering described (GEE with repeated measurements per subject)</p>,Unclear risk,<p>Unable to assess risk in most domains</p>
Tianviwat 2016,Low risk,<p>Computer-generated random sequence</p>,Low risk,"<p>Based on this and flowchart, allocation was likely done centrally at one time..</p>",Unclear risk,"<p>Data analyst blinded, external examiner not blinded, and dental nurses blinded but aware of the outcome being assessed. It is unclear who provided the outcome data, but it may be dental nurses.</p>",Low risk,"<p>There was no loss to follow-up from both groups, hence, there is low risk of attrition bias.</p>",Unclear risk,<p>Reported as per methods and trial registration but registration performed retrospectively</p>,Low risk,<p>No evidence of recruitment after randomisation and allocation</p>,High risk,"<p>Baseline imbalances noted, and it is unclear what adjustments were made for these as not clearly described</p>",Unclear risk,"<p>The authors noted that participants came together once a month and there may have been discussion about the intervention, even if the Control arm could not receive the tailored intervention.</p>",Low risk,<p>Adjustment for clustering performed</p>,High risk,<p>Baseline imbalance - high; protection against contamination - unclear</p>
Tierney 1986a,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Unclear risk,<p>No baseline data presented</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>The unit of analysis was the physician.</p>,Unclear risk,<p>Unclear across important domains</p>
Tierney 1986b,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Unclear risk,<p>No baseline data presented</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>The unit of analysis was the physician.</p>,Unclear risk,<p>Unclear across important domains</p>
Tija 2015,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Outcome unlikely to be affected by knowledge of assessor</p>,Low risk,<p>No missing data</p>,Low risk,<p>All outcomes reported</p>,Low risk,<p>No evidence of recruitment after randomisation</p>,Low risk,<p>Baseline characteristics and outcomes balanced between arms</p>,Low risk,<p>Separate practices unlikely to have communication between practices</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,"<p>Due to incorrect analysis, randomisation generation and concealment</p>"
Trent 2019,Low risk,<p>Computer-generated randomisation</p>,Low risk,<p>Allocation was concealed until just before the intervention.</p>,Unclear risk,<p>Unclear if data collector was aware of allocation</p>,Low risk,<p>No physicians left the study and no data were missing.</p>,Unclear risk,<p>Reported in line with methods but no protocol to check against</p>,Low risk,"<p>In stepped-wedge studies with recruitment extended over time or without blinding to the intervention, this may not be possible, creating a risk of selection bias, even though clusters are allocated randomly over time.</p>",Unclear risk,"<p>Table 1 - some differences between groups of patient variables (for all patients, not just baseline period). Baseline not specifically analysed for patients or physicians</p>",High risk,"<p>Given that this study was performed at a single institution, contamination could have occurred if physicians who had received the intervention discussed the intervention with physicians who had not previously received the intervention. Beyond requesting that physicians who received the intervention not discuss their data with other physicians, the study team could not reasonably control for contamination that occurred through regular discourse.&nbsp;</p>",Low risk,<p>Researchers took into account stepped-wedge clustering effect and also adjusted for cluster-time intervention.</p>,High risk,<p>Due to protection against contamination</p>
Trietsch 2017a,Low risk,<p>Allocation sequence was computer-generated by an independent research assistant.</p>,Low risk,<p>Allocation was done centrally by an independent researcher and concealed.</p>,Low risk,"<p>""The researcher was blinded until all data analyses had been completed."" (p. 4)</p>",Low risk,"<p>Clusters that dropped out appear balanced in both arms for similar reasons. Analyses were performed by ITT as well as per-protocol. Some data were excluded from analyses due to unforeseen issues and unlikely due to bias and unlikely introduced bias (e.g. new guidelines launched and significant public awareness contaminating data, insufficient data, etc.).</p>",High risk,"<p>Multiple outcomes listed in the trial registration and published protocol are not published here or in the process evaluation paper - e.g. inter-doctor variation in prescribing, costs, etc. Other time points specified in the trial registration (12 and 18 months) are also missing from this publication.</p>",Low risk,<p>Patients not recruited to trial. Individual GPs already members of LQIC groups (p. 2)</p>,Low risk,<p>There were no significant baseline characteristic imbalances. Between-group effect estimates were adjusted for baseline.</p>,Low risk,<p>The set of five topics presented to groups A &amp; B differed between the two arms.</p>,Low risk,<p>Linear mixed model with LQIC as random effect used to account for clustering of practices</p>,High risk,<p>Due to selective reporting</p>
Trietsch 2017b,Low risk,<p>Allocation sequence was computer-generated by an independent research assistant.</p>,Low risk,<p>Allocation was done centrally by an independent researcher and concealed.</p>,Low risk,"<p>""The researcher was blinded until all data analyses had been completed."" (p. 4)</p>",Low risk,"<p>Clusters that dropped out appear balanced in both arms for similar reasons. Analyses were performed by ITT as well as per-protocol. Some data were excluded from analyses due to unforeseen issues and unlikely due to bias and unlikely introduced bias (e.g. new guidelines launched and significant public awareness contaminating data, insufficient data, etc.).</p>",High risk,"<p>Multiple outcomes listed in the trial registration and published protocol are not published here or in the process evaluation paper - e.g. inter-doctor variation in prescribing, costs, etc. Other time points specified in the trial registration (12 and 18 months) are also missing from this publication.</p>",Low risk,<p>Patients not recruited to trial. Individual GPs already members of LQIC groups (p. 2)</p>,Low risk,<p>There were no significant baseline characteristic imbalances. Between-group effect estimates were adjusted for baseline.</p>,Low risk,<p>The set of five topics presented to groups A &amp; B differed between the two arms.</p>,Low risk,<p>Linear mixed model with LQIC as random effect used to account for clustering of practices</p>,High risk,<p>Due to selective reporting</p>
Tu 2009,Low risk,<p>Stratified and performed by a statistician</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>&nbsp;Blinded based on communication with author</p>,Low risk,<p>See Figure</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Low risk,<p>See Table 1</p>,Low risk,<p>Hospitals separate</p>,Low risk,"<p>""The primary analyses of the study data took into account the clustered nature of the data and examined the difference in the mean hospital-specific performance between the 2 study groups, using methods appropriate for the analysis of repeated cross-sectional cluster randomized trials.""</p>",Low risk,<p>Low risk across all domains</p>
Van Bruggen 2008,Low risk,<p>Random number table by an independent researcher</p>,Low risk,"<p>Because an independent researcher carried out randomisation, and the study flow diagram suggests it is likely that all clusters were allocated at the same time, allocation was likely concealed.</p>",Unclear risk,<p>Some outcomes could be subject to bias from knowledge of allocation.</p>,Low risk,<p>Balanced attrition; unlikely to be related to intervention</p>,Unclear risk,<p>No protocol to check reported outcomes against</p>,Low risk,<p>Recruitment occurred prior to randomisation.</p>,Low risk,"<p>Participating general practices were randomised into an intervention and control group. Prior to randomisation, practices were divided into groups according to the following criteria: practice type (single-handed, duo or group practice) and presence of a specialised nurse.</p>",Low risk,<p>Allocation by practice</p>,Low risk,<p>Controlled for cluster design</p>,Low risk,<p>Low risk across most domains</p>
Van der Velden 2016,Low risk,<p>Random allocation by web-based randomisation module</p>,Low risk,<p>Allocation was undertaken centrally via a web-based randomisation module - assumed low risk of bias</p>,Low risk,<p>Outcomes collected from a database and unlikely subject to bias if abstractor was aware of allocation.</p>,Low risk,<p>Missing GPs appear balanced between groups and reasons provided to not suggest it was due to the intervention</p>,Unclear risk,<p>No protocol to check reported outcomes against</p>,Low risk,<p>GPs in the practices were informed about their allocation after they had promised to participate.</p>,Unclear risk,"<p>Table shows that the socioeconomic status of the patient population in the Intervention arm was lower than in the control arm; there were more group practices in the Intervention arm; fewer practices in the south in the Intervention arm; male/female GPs were split 50/50 in the Intervention arm, but there were more female GPs in the Control arm. These may have been important differences.</p>",Unclear risk,<p>Allocation to Intervention or Control was by cluster (practice). It is possible that there was an overlap between the arms (shared staff maybe) or that the Control group GPs' prescribing behaviour was affected by their knowledge of the Intervention.</p>,High risk,"<p>It appeared that the authors did not use recommended analyses for clusters, between cluster and even intra-cluster effects. </p>",High risk,<p>Due to incorrect analysis</p>
Van der Weijden 1999,Low risk,<p>Blocked randomisation</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>&nbsp;Blinded data collectors</p>,Low risk,<p>20/20 practices</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Low risk,<p>See Table 2</p>,Low risk,<p>Practices separate</p>,Low risk,<p>Appropriate adjustment for clustering described (multilevel analysis + random-effects log regression)</p>,Low risk,<p>Low risk across all domains</p>
Vellinga 2016,Low risk,<p>A computer-generated random sequence was used.</p>,Low risk,<p>Each practice was sequentially assigned to a study arm according to a computer-generated schedule.</p>,Low risk,<p>Outcomes based on data extracted from patient management software</p>,Low risk,<p>No practices lost to follow-up</p>,Low risk,"<p>The trial was registered and protocol published. Although the protocol states qualitative data will be collected from GPs as well as costs data, these were not done, and authors did not give a reason for not collecting this data. However, given the study aim of antimicrobial prescribing behaviour, it is unlikely this would pose a threat to selective reporting of outcomes. Deviation from protocol explained with reasoning</p>",Low risk,<p>Patients not recruited to trial (clusters = GP practices)</p>,Low risk,"<p>There did not seem to be any significant differences in baseline characteristics between the 3 groups; further, the study analysis adjusted for patient and practice level characteristics, which would have accounted for differences, if any.</p>",Low risk,"<p>Since the GPs were confined to their respective practices within each of the 3 study arms, there is low risk of contamination between practices.</p>",Low risk,<p>ICC performed and analysis done at practice (unit of randomisation) level</p>,Low risk,<p>Low risk across all domains</p>
Veninga 1999,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Outcome data unlikely to be subject to assessor bias</p>,Low risk,<p>No missing data</p>,Low risk,<p>All outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Low risk,<p>Characteristics and outcomes balanced between arms</p>,Low risk,<p>Cluster design to reduce contamination</p>,Low risk,"<p>""A multilevel model was used taking into account the hierarchical structure of the data (prescriptions were nested within patients, patients were nested within doctors, and doctors were nested within groups of doctors) by including random effects.""</p>",Unclear risk,<p>Unclear due to randomisation generation and concealment</p>
Verstappen 2003a,Low risk,<p>Blocked randomisation</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>&nbsp;Tests ordered objective data.</p>,Low risk,<p>1/26 practices lost to follow-up</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Low risk,<p>See Table 2</p>,Low risk,<p>Independent clinics</p>,Low risk,<p>Appropriate adjustment for clustering described (3-level model)</p>,Low risk,<p>Low risk across most domains</p>
Verstappen 2003b,Low risk,<p>Blocked randomisation</p>,Low risk,"<p>Cluster trial, allocation after recruitment completed</p>",Low risk,<p>Tests ordered objective data.</p>,Low risk,<p>1/26 practices lost to follow-up</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Low risk,<p>See Table 2</p>,Low risk,<p>Independent clinics</p>,Low risk,<p>Appropriate adjustment for clustering described (3-level model)</p>,Low risk,<p>Low risk across all important domains</p>
Verstappen 2004,Low risk,<p>Blocked randomisation</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>&nbsp;Tests ordered objective data.</p>,Low risk,<p>26/27 sites competed trial.</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Low risk,<p>See Table 2; non-significant differences</p>,Low risk,<p>Independent sites</p>,Low risk,<p>Appropriate adjustment for clustering described (3-level model)</p>,Low risk,<p>Low risk across most domains</p>
Vervloet 2016,Unclear risk,<p>Method of sequence generation is not described.</p>,Low risk,<p>Clusters were paired and subsequently allocated their group. It appears likely allocation was done centrally and concealed.</p>,Low risk,<p>Patient records of prescriptions (outcome) unlikely to be biased due to knowledge of allocation</p>,Low risk,<p>No PTAM group or family physicians lost to follow-up (p. 2)</p>,High risk,<p>Trial registration has two outcomes that are not reported in this publication - occurrence of complications and patients' judgement of quality of care. Omitting the occurrence of complications in particular may be biasing the results.</p>,Low risk,<p>No evidence of recruitment after allocation. All eligible groups were invited to participate.</p>,Low risk,"<p>Despite the matching procedure used in assigning PTAMs to the intervention or control group, the total FP practice size varied largely between PTAM groups. Overall, the intervention PTAM groups had smaller practice sizes than their controls. The variability in practice size conceals the intervention effect as it complicates estimation of the variability that can be attributed to the effect of the intervention. By standardising the number of prescriptions (per 1000 patients), this variability was reduced, providing a more precise estimation of the intervention effect.</p>",Low risk,<p>Participants were in pre-existing PTAM groups. The control arm did not receive the intervention until after the trial.</p>,Low risk,<p>Analyses performed with clustering taken into account</p>,High risk,<p>High due to selective reporting</p>
Vingerhoets 2001,Low risk,<p>Computer-generated list of random numbers</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,"<p>Quote ""Patients were blinded for the intervention..""</p>",Low risk,"<p>Less than 10% dropouts; 4 physicians dropped out of control, one out of intervention</p>",Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Low risk,<p>Patient groups did not differ between arms.</p>,Low risk,<p>43 separate practices</p>,Low risk,<p>Appropriate adjustment for clustering described (multilevel regression model)</p>,Low risk,<p>Low risk across all domains</p>
Von Lengerke 2019,Unclear risk,<p>No information on how sequence was generated</p>,Low risk,"<p>See protocol. Based on the study flow diagram, it appears likely that all clusters were allocated at the same time.</p>",High risk,"<p>Outcome assessors for NI blinded, but not hand hygiene compliance</p>",Unclear risk,"<p>Not enough information to judge completeness of outcome data for MDRO infection, NI incidence and compliance rates</p>",Low risk,"<p>Outcomes consistent with registered protocol (DRKS00010960) - compliance rates, and infections</p>",Low risk,<p>No evidence of recruitment after randomisation and allocation</p>,Unclear risk,<p>Some baseline imbalances in characteristics and performances</p>,Unclear risk,<p>Nurses and physicians were allocated within a single-centre hospital and possible to communicate across wards/ICUs</p>,Low risk,<p>Analysed by cluster-level</p>,High risk,<p>Due to blinding</p>
Wadland 2007,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Over 300/308 clinicians provided data.</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Low risk,<p>See Table 1 and 2</p>,Low risk,<p>Separate clinics</p>,Unclear risk,<p>No adjustment for clustering mentioned (but repeated measures study with time being the unit of analysis)</p>,Unclear risk,<p>Unable to assess risk in important domains</p>
Wahlström 2003,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Data from all hospital departments provided</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>No adjustment for clustering mentioned</p>,Unclear risk,<p>Unable to assess risk in most domains</p>
Wald 2014,Unclear risk,<p>Randomisation method not described</p>,Unclear risk,<p>No details or study flow diagram to determine whether all clusters were likely allocated at the same time</p>,Unclear risk,"<p>Although outcome collection would not appear likely subject to bias (unlikely that data was recorded with bias), there is a lack of information.</p>",Low risk,<p>It appears all allocated units were included in analysis.</p>,Unclear risk,<p><br>No trial registration. Results report on objectives.</p>,Low risk,<p>Ongoing enrolment but no evidence of recruiting after randomisation</p>,Low risk,"<p>Some baseline differences were noted but the analyses appear to have adjusted for patient, hospital and unit characteristics.</p>",Low risk,<p>Randomisation and hospital level; not likely to be contamination</p>,Low risk,<p>Clustering was taken into account in analyses.</p>,Unclear risk,<p>Unable to assess risk in important domains</p>
Walsh 2007,Low risk,<p>Computer-generated</p>,Low risk,"<p>Allocation was concealed adequately using appropriate methods; hence, there is a low risk of selection bias.</p>",Low risk,"<p>Recording of neonatal data unlikely subject to bias as intervention and control groups were unaware of the exact nature of the two trial arms. It is unclear if the research nurse abstracting data was masked to allocation, but data were quality checked and unlikely biased (even if allocation was known).</p>",Low risk,<p>The consort flow diagram shows there was no loss to follow-up or withdrawal in either arm; low risk of attrition bias</p>,Unclear risk,<p>Trial registration (written at the inception of the trial) stated one primary and one secondary outcome. Multiple secondary outcomes were added in this publication and it is possible these were added retrospectively to show improvement in the intervention arm (some of these are highlighted in the abstract).</p>,Low risk,"<p>As per figure 1 in the paper, no infants were recruited into the study post-randomisation; there is low risk of recruitment bias.</p>",Low risk,<p>There is low risk of other bias due to baseline differences between groups as this did not affect outcomes in any way.</p>,Low risk,<p>Control centres were also masked to work at the intervention centres; low risk of contamination bias</p>,Low risk,<p>Appropriate analytical methods used</p>,Low risk,<p>Low risk across most domains</p>
